,Post id,Channel id,Sentence,Label_HRV
0,6794,channel1429590454,Директор по особым поручениям Ростеха Василий Бровко сегодня выпустил своего рода философский манифест про текущий момент и про результаты санкций.,0
1,6794,channel1429590454,"Я Василия давно знаю, и честно сказал ему, что с ним не согласен.",0
2,6794,channel1429590454,"Но думаю, это нужно прочитать - потому что написано стройно и истово, и кстати объясняет почему на волне санкций рейтинг Путина (причём по опросу Левады *) вырос до 83%.",0
3,6794,channel1429590454,Как я всегда говорю на своём канале — выводы делайте сами!,0
4,6794,channel1429590454,*признан иноагентом,0
5,5932,channel1153178038,❗ Два этапа эвакуации из Сум завершились успешно!,0
6,5932,channel1153178038,5 тысяч человек и 1 тысяча частных автомобилей в безопасности.,0
7,5932,channel1153178038,Вторая колонна ночью прибыла в Полтаву.,0
8,5932,channel1153178038,Хроники Украины 🇺🇦 Прислать контент,0
9,3593,channel1152463236,🇷🇺🇺🇦🔥 Украинские войска обстреляли приграничный посёлок Тёткино в Курской области.,0
10,3593,channel1152463236,"Сообщается о повреждениях таможенного поста, мельницы и ж/д моста.",0
11,3593,channel1152463236,Обстрел вёлся сто стороны Сумской области Украины.,0
12,3593,channel1152463236,@vorposte,0
13,5762,channel1472280635,"Офицер-артиллерист ВСУ Виталий Милостив рассказал, как на протяжении двух недель его подразделение вело огонь из нескольких САУ по населенным пунктам с мирными жителями.",1
14,5762,channel1472280635,Позиции находились на заводе им. Ильича в г.Мариуполе.,0
15,5762,channel1472280635,12 апреля 2022 года они сдались в плен военнослужащим РФ - у солдат ВСУ закончились еда и боеприпасы.,0
16,4477,channel1124038902,"В подмосковном поселке Северный под Истрой во время тренировочной отработки ударов саблей погиб 57-летний атаман «Великого братства казачьих войск Руси и зарубежья» Сергей Капитонов, сообщает Следственный комитет.",0
17,4477,channel1124038902,Инцидент произошел 10 июля на спортивной площадке.,0
18,4477,channel1124038902,"По версии следствия, атаман неудачно зашел за спину партнера, когда тот замахнулся саблей по стоящей на стойке бутылке.",0
19,4477,channel1124038902,"Капитонов умер от удара в грудь, возбуждено уголовное дело о причинении смерти по неосторожности.",0
20,4477,channel1124038902,"По данным SHOT и Baza, в тот день он тренировался с 64-летним Алексеем Петуховым.",0
21,4477,channel1124038902,"Верховный атаман организации Виктор Коваленко рассказал @varlamov_news , что Капитонов возглавлял ее «московское войско» и регулярно «проводил обучение среди молодежи по обращению с шашкой, преподавал боевое искусство».",0
22,4477,channel1124038902,"«Мы толком не знаем, как такая трагедия могла произойти.",0
23,4477,channel1124038902,"Наш атаман мог лежать голым телом на гвоздях, ему становились на грудь и били по ней.",0
24,4477,channel1124038902,Он был железный и воля у него была железная.,0
25,4477,channel1124038902,В голове не укладывается.,0
26,4477,channel1124038902,"Будем искать родственников, наши помогут», — сказал Коваленко.",0
27,4016,channel1036240821,"⚡️Путин своим указом запретил со 2 марта вывоз из РФ иностранной валюты в сумме, превышающей $10 тыс",0
28,7106,channel1319370046,"🇷🇺 Небольшой фильм о некоторых аэродинамических трубах, которые используются в ЦАГИ (Центральный аэрогидродинамический институт имени профессора Н.Е. Жуковского).",0
