Telegram Channel Name ,Code,Sample imported in Label Studio,Affiliation,Link
Операция Z: Военкоры Русской Весны,2,yes,Ru,https://t.me/RVvoenkor
Unian,17,,Ukr,https://t.me/uniannet
Ukraina Online,16,,Ukr,https://t.me/+gRODKk7jO3xlYzU6
Pravdivosti,12,yes,,https://t.me/+Ocayu2hF8Go2YzUy
Nexta Live,0,yes,Ukr,https://t.me/nexta_live
Kipiatochek,11,yes,Ru,https://t.me/+utEAaND2Ug1jNzZi
Ukraina Seichas,15,,Ukr,https://t.me/u_now
Zhest Dnia,18,,Ru,https://t.me/zvoinaukraina
Forpost,1,yes,,https://t.me/vorposte
Dud,,,Ukr,https://t.me/yurydud
Ukraine_Alert,42,,Ukr,https://t.me/alert_ukraine
kyivcityofficial,38,,Ukr,https://t.me/KyivCityOfficial
informator_UKR,19,,Ukr,https://t.me/+LV7tr2_vgu02NjAy
kyivpolitics,20,,Ukr,https://t.me/KyivPolitics
ukrainenowrussia,,,,https://t.me/ukrainenowrussia
невзоров,14,,Ukr,https://t.me/nevzorovtv
zerkalo.io,3,yes,Ukr,https://t.me/zerkalo_io
adbestias,13,,,https://t.me/adbestias
ZOV [previously: Украина Online Новости Война],,,,https://t.me/UkrainaOnlline
meduza,4,yes,Ukr,https://t.me/meduzalive
осторожно новости,5,yes,,https://t.me/ostorozhno_novosti
Пивоваров редакция,6,,Ukr,https://t.me/redakciya_channel
Ukraine now,7,yes,Ukr,https://t.me/UkraineNow
Детектор медіа,8,yes,Ukr,https://t.me/detector_media
varlamov_news,9,yes,Ukr,https://t.me/varlamov_news
УП_стичка,10,yes,Ukr,https://t.me/ukrpravda_news
DeepState_ukr,32,,Ukr,https://t.me/DeepStateUA
WarGonzo ,49,,,https://t.me/wargonzo
Сладков +,43,,,https://t.me/Sladkov_plus
Поддубный |Z|О|V| edition,21,,,https://t.me/epoddubny
Kotsnews,22,,,https://t.me/sashakots
Повёрнутые на Z войне 🇷🇺,23,,Ru,https://t.me/voenacher
Военный Осведомитель,24,,Ru,https://t.me/milinfolive
Vоенкор Котенок Z,25,,Ru,https://t.me/voenkorKotenok
КОНФЛИКТ 🅉 ,,,Ru,https://t.me/konfliktworld
Милитарист,26,,,https://t.me/infantmilitario
WarJournal [Z],27,,Ru,https://t.me/warjournaltg
Directorate 4,34,,,https://t.me/directorate4
Oleg Blokhin ,28,,,https://t.me/Oleg_Blokhin
Мадуро - не дура ,29,,,https://t.me/apleonkov
Военкор 🅉 Медведев ,45,,Ru,https://t.me/medvedev_note
Спецоперация на Украине. Правдивые новости,30,,Ru,https://t.me/specops2022
Conflict Zone,33,,,https://t.me/ConflictZone24
Крылья войны,36,,,https://t.me/wingsofwar
Вестник Дамаска,44,,,https://t.me/NovostiDamask
Vоенная БаZа,46,,Ru,https://t.me/kapterkarus
Операция Z,39,,Ru,https://t.me/+L4BiOTrlJI8zMzgy
Рамзан Кадыров ❗️ПОНОМАРЬ ВОЙНА,41,,Ru,https://t.me/kadyrov9590
"⚡️🇷🇺 Сводки ополчения Новороссии Z.O.V. (ДНР, ЛНР, Украина, Война) ",,,Ru,https://t.me/swodki
ВОЙНА [ Россия Украина ],47,,,https://t.me/Voyna
Война на Украине | Война с Украиной | Мобилизация,48,,,https://t.me/VoinaNaUkraine
ХРОНИКИ УКРАИНЫ 🇺🇦 НОВОСТИ ВОЙНА,35,,Ukr,https://t.me/Hroniki_ua1
Война - Украина Россия Херсон,31,,,https://t.me/Voyna18
Мировая Телега Новостей | Украина Россия Война,37,,,https://t.me/novosti_voyny
"Мир сегодня с ""Юрий Подоляка""",50,,,https://t.me/yurasumy
Дмитрий Медведев,51,,Ru,https://t.me/medvedev_telegram
Анатолий Шарий,52,,Ukr,https://t.me/ASupersharij
Стрелков Игорь Иванович,53,,,https://t.me/strelkovii
НЕВЗОРОВ,,,Ukr,https://t.me/nevzorovtv
Zelenskiy / Official,,,Ukr,https://t.me/V_Zelenskiy_official
Кровавая барыня,,,Ukr,https://t.me/bloodysx
Вячеслав Володин,,,Ru,https://t.me/vv_volodin
Александр Ходаковский ,,,,https://t.me/aleksandr_skif
Рыбарь,,,,https://t.me/rybar
Легитимный ,,,Ukr,https://t.me/legitimniy
Операция Z: Военкоры Русской Весны,,,Ru,https://t.me/RVvoenkor
Мир Михаила Онуфриенко ,,,,https://t.me/Mikle1On
Маргарита Симоньян,,,Ru,https://t.me/margaritasimonyan
СОЛОВЬЁВ ,,,Ru,https://t.me/SolovievLive
Генерал СВР ,,,,https://t.me/generalsvr
Colonelcassad ,,,,https://t.me/boris_rozhin
Сталингулаг,,,Ukr,https://t.me/stalin_gulag
Военный обозреватель,,,,https://t.me/new_militarycolumnist
Марочко Live,,,,https://t.me/marochkolive
Оперативные сводки ,,,,https://t.me/opersvodki
Старше Эдды,,,,https://t.me/vysokygovorit
Владлен Татарский ,,,,https://t.me/vladlentatarsky
"Неофициальный Безсонов ""Z""",,,Ru,https://t.me/NeoficialniyBeZsonoV
ZАПИСКИ VЕТЕРАНА,,,Ru,https://t.me/notes_veterans
ZERGULIO🇷🇺,,,Ru,https://t.me/SergeyKolyasnikov
АГС_Z_Донбасса ,,,Ru,https://t.me/Ags_Donbass
ЗеРада,,,,https://t.me/ZeRada1
Минобороны России,,,Ru,https://t.me/mod_russia
СИЛОВИКИ 🇷🇺 ,,,Ru,https://t.me/SIL0VIKI
Марьяна Батьковна ,,,,https://t.me/maryananaumova
kungurov,,,,https://t.me/alekseykungurov
АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺,,,Ru,https://t.me/rusich_army
Старше Эдды,,,,https://t.me/vysokygovorit
Военная хроника,,,,https://t.me/milchronicles
First Новости Войны,,,,https://t.me/first_political
 Видео с СВО 18+,,,,https://t.me/video_s_svo
deleted,,,,channel was removed
deleted,,,,channel was removed
deleted,,,,channel was removed
deleted,,,,channel was removed
